,placeVisit__location__longitudeE7,placeVisit__location__address,placeVisit__location__latitudeE7
0,144.963875,"287 Lonsdale St, Melbourne VIC 3000, Australia",-37.8124446
4,144.9627652,"Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000, Australia",-37.8102361
25,144.9632758,"350 Bourke St, Melbourne VIC 3000, Australia",-37.8135391
49,144.9539973,"Melbourne VIC 3000, Australia",-37.8168459
73,144.9453691,"131 Harbour Esplanade, Docklands VIC 3008, Australia",-37.8170855
97,144.9510331,"376 Spencer St, West Melbourne VIC 3003, Australia",-37.8116993
118,144.9525,"Spencer St, Docklands VIC 3008, Australia",-37.81839
144,144.9670618,"Flinders St, Melbourne VIC 3000, Australia",-37.8182711
178,145.0510807,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",-37.9584584
229,144.9656403,"Melbourne VIC 3000, Australia",-37.8135346
253,144.9510331,"376 Spencer St, West Melbourne VIC 3003, Australia",-37.8116993
257,144.9485626,"112 Adderley St, West Melbourne VIC 3003, Australia",-37.8100318
342,144.9510331,"376 Spencer St, West Melbourne VIC 3003, Australia",-37.8116993
366,144.9512011,"West Melbourne VIC 3003, Australia",-37.8132106
388,144.9525,"Spencer St, Docklands VIC 3008, Australia",-37.81839
410,145.0423526,"Caulfield East VIC 3145, Australia",-37.8773168
429,145.0510807,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",-37.9584584
465,145.0423526,"Caulfield East VIC 3145, Australia",-37.8773168
499,144.9525,"201 Spencer St, Docklands VIC 3008, Australia",-37.8163889
565,144.9510331,"376 Spencer St, West Melbourne VIC 3003, Australia",-37.8116993
791,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
972,145.0510807,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",-37.9584584
1004,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1023,145.1101499,"Oakleigh East VIC 3166, Australia",-37.8974717
1045,145.0826588,"1341 Dandenong Rd, Chadstone VIC 3148, Australia",-37.8861421
1077,145.1107025,"221 Burwood Hwy, Burwood VIC 3125, Australia",-37.8440971
1115,145.0906538,"Malvern East VIC 3145, Australia",-37.8795659
1156,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1190,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1224,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1228,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1247,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1266,145.1101499,"Oakleigh East VIC 3166, Australia",-37.8974717
1288,145.1084457,"Huntingdale VIC 3166, Australia",-37.9028496
1307,145.1488444,"Clayton VIC 3168, Australia",-37.917237
1344,145.1403919,"2107/2125 Princes Hwy, Clayton VIC 3168, Australia",-37.920929
1427,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1431,145.0423526,"Caulfield East VIC 3145, Australia",-37.8773168
1450,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1469,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1488,145.0826588,"1341 Dandenong Rd, Chadstone VIC 3148, Australia",-37.8861421
1511,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1515,145.1097166,"83 Elgar Rd, Burwood VIC 3125, Australia",-37.8441609
1519,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1591,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1610,145.0377877,"2 Faulkner St, Bentleigh VIC 3204, Australia",-37.9325015
1631,145.1113974,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.8998169
1635,145.1084457,"Huntingdale VIC 3166, Australia",-37.9028496
1654,145.1107025,"221 Burwood Hwy, Burwood VIC 3125, Australia",-37.8440971
1673,145.1097166,"83 Elgar Rd, Burwood VIC 3125, Australia",-37.8441609
1736,145.0510807,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",-37.9584584
1797,145.0368457,"Moorabbin VIC 3189, Australia",-37.9348949
1816,145.0423526,"Caulfield East VIC 3145, Australia",-37.8773168
1835,145.0883462,"Oakleigh VIC 3166, Australia",-37.9004928
1869,145.1113543,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.899766
1888,145.1122556,"221 Burwood Hwy, Burwood VIC 3125, Australia",-37.8445153
1922,145.0826588,"1341 Dandenong Rd, Chadstone VIC 3148, Australia",-37.8861421
1959,145.1113543,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.899766
2202,144.9525,"Spencer St, Docklands VIC 3008, Australia",-37.81839
2228,144.3549564,"Railway Terrace, Geelong VIC 3220, Australia",-38.1444288
2253,143.9749718,"70 Mountjoy Parade, Lorne VIC 3232, Australia",-38.5388168
2277,143.9750519,"1/150 Mountjoy Parade, Lorne VIC 3232, Australia",-38.541687
2296,143.9789022,"53 George St, Lorne VIC 3232, Australia",-38.5542527
2315,143.975905,"176 Mountjoy Parade, Lorne VIC 3232, Australia",-38.543067
2335,143.9739798,"15 Mountjoy Parade, Lorne VIC 3232, Australia",-38.5366308
2366,144.3549564,"Railway Terrace, Geelong VIC 3220, Australia",-38.1444288
2385,144.3600884,"39 Malop St, Geelong VIC 3220, Australia",-38.1468582
2451,145.0423526,"Caulfield East VIC 3145, Australia",-37.8773168
2588,145.1113543,"6 Gamble St, Oakleigh East VIC 3166, Australia",-37.899766
